Figure 1. Global Atmospheric Concentrations of Carbon Dioxide Over Time,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,
Data source: Compilation of 10 underlying datasets,,,,,,,,,,
Web update: April 2016,,,,,,,,,,
Units: parts per million (ppm) of CO2,,,,,,,,,,
,,,,,,,,,,
Year (negative values = BC),"EPICA Dome C and  Vostok Station,  Antarctica","Law Dome, Antarctica (75-year smoothed)","Siple Station, Antarctica","Mauna Loa, Hawaii","Barrow, Alaska","Cape Matatula,  American Samoa","South Pole, Antarctica","Cape Grim, Australia","Lampedusa Island, Italy","Shetland Islands, Scotland"
-672223,209.2,,,,,,,,,
-671525,202.3,,,,,,,,,
-671145,198.7,,,,,,,,,
-670436,194.8,,,,,,,,,
-669976,192.5,,,,,,,,,
-669336,194.6,,,,,,,,,
-668966,192.6,,,,,,,,,
-668226,189.3,,,,,,,,,
-667801,185.5,,,,,,,,,
-666984,178.5,,,,,,,,,
-666497,175.6,,,,,,,,,
-665619,171.6,,,,,,,,,
-665045,172.7,,,,,,,,,
-664224,178.5,,,,,,,,,
-663695,178.2,,,,,,,,,
-662740,185.8,,,,,,,,,
-662242,189.1,,,,,,,,,
-661256,189,,,,,,,,,
-660719,187.8,,,,,,,,,
-659700,189.8,,,,,,,,,
-659031,186.6,,,,,,,,,
-658134,183.9,,,,,,,,,
-657574,182.4,,,,,,,,,
-656524,189.2,,,,,,,,,
-655973,191.3,,,,,,,,,
-654932,198.7,,,,,,,,,
-654336,198.4,,,,,,,,,
-653252,193.2,,,,,,,,,
-652523,191.3,,,,,,,,,
-651498,185.3,,,,,,,,,
-650852,185.8,,,,,,,,,
-649606,192,,,,,,,,,
-648941,187.8,,,,,,,,,
-647648,194.8,,,,,,,,,
-646996,192.1,,,,,,,,,
-645638,190.5,,,,,,,,,
-644773,188.6,,,,,,,,,
-643520,194.6,,,,,,,,,
-642712,194.1,,,,,,,,,
-641254,190.4,,,,,,,,,
-640455,190.2,,,,,,,,,
-638810,189.1,,,,,,,,,
-637898,187.7,,,,,,,,,
-636177,194.3,,,,,,,,,
-635007,193,,,,,,,,,
-633539,193.9,,,,,,,,,
-632642,192.1,,,,,,,,,
-630906,195.6,,,,,,,,,
-630051,199.5,,,,,,,,,
-628345,199.9,,,,,,,,,
-627496,198.7,,,,,,,,,
-626049,205,,,,,,,,,
-625261,214.9,,,,,,,,,
-624265,227.8,,,,,,,,,
-623620,234.3,,,,,,,,,
-622740,237.3,,,,,,,,,
-621264,238.6,,,,,,,,,
-619810,243,,,,,,,,,
-618388,245.4,,,,,,,,,
-617005,247.9,,,,,,,,,
-615594,252.3,,,,,,,,,
-614277,252.4,,,,,,,,,
-612973,252.5,,,,,,,,,
-611759,256,,,,,,,,,
-610564,258,,,,,,,,,
-609369,259.6,,,,,,,,,
-608186,257.7,,,,,,,,,
-606979,259.2,,,,,,,,,
-605758,254.6,,,,,,,,,
-604424,248.5,,,,,,,,,
-603126,244.5,,,,,,,,,
-601723,239.1,,,,,,,,,
-600328,237.9,,,,,,,,,
-598932,232.5,,,,,,,,,
-597484,229.4,,,,,,,,,
-596883,226,,,,,,,,,
-596016,219,,,,,,,,,
-595493,216.3,,,,,,,,,
-594565,216.4,,,,,,,,,
-594000,221.2,,,,,,,,,
-593239,232.9,,,,,,,,,
-592689,238,,,,,,,,,
-591920,238.1,,,,,,,,,
-591465,233.2,,,,,,,,,
-590747,229.4,,,,,,,,,
-590329,225.7,,,,,,,,,
-588943,237.4,,,,,,,,,
-588385,243.6,,,,,,,,,
-587918,248.1,,,,,,,,,
-587274,250.2,,,,,,,,,
-586766,246.3,,,,,,,,,
-586084,238.8,,,,,,,,,
-585697,234.4,,,,,,,,,
-584943,226,,,,,,,,,
-584456,224,,,,,,,,,
-581463,210.6,,,,,,,,,
-581084,206.7,,,,,,,,,
-580441,209.9,,,,,,,,,
-580050,215.4,,,,,,,,,
-579557,219.4,,,,,,,,,
-579210,225.2,,,,,,,,,
-578745,230.3,,,,,,,,,
-578450,236.2,,,,,,,,,
-578069,243.8,,,,,,,,,
-577871,244.1,,,,,,,,,
-577485,251.5,,,,,,,,,
-576907,252.9,,,,,,,,,
-576355,249.1,,,,,,,,,
-575819,251.1,,,,,,,,,
-575292,251.3,,,,,,,,,
-574773,251.3,,,,,,,,,
-574272,252.9,,,,,,,,,
-573780,252.5,,,,,,,,,
-573315,248.9,,,,,,,,,
-572853,252.1,,,,,,,,,
-572403,251.9,,,,,,,,,
-571952,251.8,,,,,,,,,
-571512,248.7,,,,,,,,,
-571087,249.2,,,,,,,,,
-570669,247.7,,,,,,,,,
-570240,246.3,,,,,,,,,
-569825,250.3,,,,,,,,,
-569417,251.6,,,,,,,,,
-569005,249.6,,,,,,,,,
-568598,251.8,,,,,,,,,
-568189,251.8,,,,,,,,,
-567778,251.3,,,,,,,,,
-567381,250,,,,,,,,,
-566996,251.3,,,,,,,,,
-566606,250.2,,,,,,,,,
-566217,253,,,,,,,,,
-565827,252.8,,,,,,,,,
-565431,253.9,,,,,,,,,
-565057,253.2,,,,,,,,,
-564669,254.5,,,,,,,,,
-564283,253.9,,,,,,,,,
-563901,254.3,,,,,,,,,
-563516,253.7,,,,,,,,,
-563127,251.4,,,,,,,,,
-562749,252.6,,,,,,,,,
-562361,252.4,,,,,,,,,
-561968,251.4,,,,,,,,,
-561567,247.6,,,,,,,,,
-561165,245.8,,,,,,,,,
-560740,245.7,,,,,,,,,
-560322,242.3,,,,,,,,,
-559896,240.1,,,,,,,,,
-559359,234.1,,,,,,,,,
-558980,234.6,,,,,,,,,
-558509,231.9,,,,,,,,,
-558022,231.6,,,,,,,,,
-557511,228.3,,,,,,,,,
-556979,230.3,,,,,,,,,
-556443,230.2,,,,,,,,,
-556233,229.7,,,,,,,,,
-555937,234.5,,,,,,,,,
-555435,238.1,,,,,,,,,
-554939,240.4,,,,,,,,,
-554774,245.6,,,,,,,,,
-554414,250.5,,,,,,,,,
-554193,244,,,,,,,,,
-553889,249.1,,,,,,,,,
-553687,243,,,,,,,,,
-553395,241,,,,,,,,,
-552881,233.9,,,,,,,,,
-552304,226.7,,,,,,,,,
-551676,224.3,,,,,,,,,
-551011,223.6,,,,,,,,,
-550300,220.3,,,,,,,,,
-550029,222.1,,,,,,,,,
-549502,226.3,,,,,,,,,
-549174,222.3,,,,,,,,,
-548687,221.7,,,,,,,,,
-547880,219.9,,,,,,,,,
-546983,215.2,,,,,,,,,
-546022,213.6,,,,,,,,,
-545623,208.8,,,,,,,,,
-545063,202.5,,,,,,,,,
-544006,204.6,,,,,,,,,
-542854,209.7,,,,,,,,,
-541726,209.6,,,,,,,,,
-540552,210.3,,,,,,,,,
-539395,208.1,,,,,,,,,
-538204,203.6,,,,,,,,,
-537009,205,,,,,,,,,
-535820,211.2,,,,,,,,,
-534672,212.9,,,,,,,,,
-533533,206.4,,,,,,,,,
-532414,205,,,,,,,,,
-531296,199.4,,,,,,,,,
-530169,199.8,,,,,,,,,
-529712,190.5,,,,,,,,,
-529085,193.8,,,,,,,,,
-528735,195.1,,,,,,,,,
-528066,200,,,,,,,,,
-527690,204.4,,,,,,,,,
-527151,211.4,,,,,,,,,
-526797,214.5,,,,,,,,,
-526312,220.7,,,,,,,,,
-525504,220.3,,,,,,,,,
-524711,221.2,,,,,,,,,
-523958,222.7,,,,,,,,,
-523214,224.7,,,,,,,,,
-522459,227.8,,,,,,,,,
-521716,230.3,,,,,,,,,
-520973,233.7,,,,,,,,,
-520266,235.8,,,,,,,,,
-519602,236.8,,,,,,,,,
-518942,241.9,,,,,,,,,
-517015,243.5,,,,,,,,,
-516384,245.5,,,,,,,,,
-515756,247.7,,,,,,,,,
-515119,245.3,,,,,,,,,
-514467,245.5,,,,,,,,,
-513821,246.2,,,,,,,,,
-513163,247.2,,,,,,,,,
-512479,243,,,,,,,,,
-511774,241.5,,,,,,,,,
-511047,239.2,,,,,,,,,
-510319,238.2,,,,,,,,,
-509565,242,,,,,,,,,
-508815,235.2,,,,,,,,,
-508058,236.4,,,,,,,,,
-507297,233.4,,,,,,,,,
-506526,240.3,,,,,,,,,
-505764,237,,,,,,,,,
-505061,238.2,,,,,,,,,
-504337,236,,,,,,,,,
-503566,235.5,,,,,,,,,
-502827,233.9,,,,,,,,,
-502133,234.1,,,,,,,,,
-501425,232.2,,,,,,,,,
-500675,232,,,,,,,,,
-499916,231.2,,,,,,,,,
-499180,230.8,,,,,,,,,
-498413,228.2,,,,,,,,,
-497660,230.8,,,,,,,,,
-496915,230.6,,,,,,,,,
-496154,232.8,,,,,,,,,
-495416,236.5,,,,,,,,,
-494658,236.4,,,,,,,,,
-493903,237.6,,,,,,,,,
-493135,238.5,,,,,,,,,
-492361,238.3,,,,,,,,,
-491557,239.1,,,,,,,,,
-490788,239.7,,,,,,,,,
-490009,243.7,,,,,,,,,
-489241,246.7,,,,,,,,,
-488495,243.3,,,,,,,,,
-487772,242.6,,,,,,,,,
-487525,249.3,,,,,,,,,
-487046,252.8,,,,,,,,,
-486739,240.9,,,,,,,,,
-486318,242,,,,,,,,,
-485591,237.1,,,,,,,,,
-484866,231.3,,,,,,,,,
-484093,232.9,,,,,,,,,
-483326,233,,,,,,,,,
-482515,231.2,,,,,,,,,
-481699,231.4,,,,,,,,,
-480853,231.4,,,,,,,,,
-479982,227.3,,,,,,,,,
-479085,223.4,,,,,,,,,
-478158,223.8,,,,,,,,,
-477194,218.8,,,,,,,,,
-476771,220.8,,,,,,,,,
-476174,231.3,,,,,,,,,
-475769,236.5,,,,,,,,,
-475212,239.1,,,,,,,,,
-474290,236.6,,,,,,,,,
-473268,232.8,,,,,,,,,
-472212,233.1,,,,,,,,,
-471152,241.2,,,,,,,,,
-470145,245.6,,,,,,,,,
-469813,243.9,,,,,,,,,
-469096,243.7,,,,,,,,,
-468647,232.7,,,,,,,,,
-467991,229.2,,,,,,,,,
-467520,218.7,,,,,,,,,
-466860,215.5,,,,,,,,,
-466373,206.5,,,,,,,,,
-465652,205.5,,,,,,,,,
-464315,203.4,,,,,,,,,
-462916,204.4,,,,,,,,,
-461506,208.1,,,,,,,,,
-460183,210,,,,,,,,,
-459737,205.2,,,,,,,,,
-458842,199.9,,,,,,,,,
-457480,194.4,,,,,,,,,
-456099,190.7,,,,,,,,,
-454641,195.5,,,,,,,,,
-453329,202.4,,,,,,,,,
-452073,208.3,,,,,,,,,
-451564,203.3,,,,,,,,,
-450845,204.3,,,,,,,,,
-450333,199.1,,,,,,,,,
-449643,192.5,,,,,,,,,
-448505,193.3,,,,,,,,,
-447294,198.4,,,,,,,,,
-446153,201.9,,,,,,,,,
-445034,204.9,,,,,,,,,
-443879,201.2,,,,,,,,,
-442700,201.7,,,,,,,,,
-441612,208.1,,,,,,,,,
-440461,203.5,,,,,,,,,
-439270,201.1,,,,,,,,,
-437615,199.1,,,,,,,,,
-436406,202,,,,,,,,,
-435202,201.3,,,,,,,,,
-434039,201.7,,,,,,,,,
-432854,200.3,,,,,,,,,
-431724,207.5,,,,,,,,,
-430649,209.8,,,,,,,,,
-429495,207.6,,,,,,,,,
-429113,211.5,,,,,,,,,
-427926,227.2,,,,,,,,,
-427056,219.7,,,,,,,,,
-425616,242.5,,,,,,,,,
-425335,248.2,,,,,,,,,
-424648,252.1,,,,,,,,,
-424025,255.3,,,,,,,,,
-423619,265.4,,,,,,,,,
-423292,270,,,,,,,,,
-422890,270.8,,,,,,,,,
-422382,268.3,,,,,,,,,
-421814,267.7,,,,,,,,,
-420699,270.6,,,,,,,,,
-420124,266.4,,,,,,,,,
-419534,268.6,,,,,,,,,
-418400,273.8,,,,,,,,,
-417858,271.2,,,,,,,,,
-417310,273.7,,,,,,,,,
-416295,274.6,,,,,,,,,
-415748,271.8,,,,,,,,,
-415241,273.4,,,,,,,,,
-414243,271.7,,,,,,,,,
-413767,276.4,,,,,,,,,
-413013,271.6,,,,,,,,,
-411998,264.9,,,,,,,,,
-411012,274.9,,,,,,,,,
-409121,283.5,,,,,,,,,
-408256,282.6,,,,,,,,,
-407433,274.7,,,,,,,,,
-406650,284.5,,,,,,,,,
-405143,285.6,,,,,,,,,
-404418,279.6,,,,,,,,,
-402977,280.5,,,,,,,,,
-402231,276.5,,,,,,,,,
-400781,275.7,,,,,,,,,
-400050,283.1,,,,,,,,,
-398554,283.2,,,,,,,,,
-397772,277.1,,,,,,,,,
-396136,276.3,,,,,,,,,
-392610,260.7,,,,,,,,,
-391629,273.6,,,,,,,,,
-390594,259.5,,,,,,,,,
-389946,266.3,,,,,,,,,
-387996,250.1,,,,,,,,,
-386112,255.2,,,,,,,,,
-384194,259.2,,,,,,,,,
-383448,264.6,,,,,,,,,
-382584,258.1,,,,,,,,,
-380720,245.8,,,,,,,,,
-379182,246.8,,,,,,,,,
-377746,239.1,,,,,,,,,
-376146,240,,,,,,,,,
-374618,227,,,,,,,,,
-370696,229.6,,,,,,,,,
-369140,224.6,,,,,,,,,
-367496,214.7,,,,,,,,,
-365906,199.9,,,,,,,,,
-364285,201.9,,,,,,,,,
-361435,206.3,,,,,,,,,
-359007,201.2,,,,,,,,,
-356762,185.8,,,,,,,,,
-354948,186.1,,,,,,,,,
-353352,193,,,,,,,,,
-350325,209.2,,,,,,,,,
-348975,209.4,,,,,,,,,
-347738,216.2,,,,,,,,,
-346348,221.1,,,,,,,,,
-344030,220.3,,,,,,,,,
-342496,211.9,,,,,,,,,
-341332,204.8,,,,,,,,,
-339852,205.2,,,,,,,,,
-338506,200.7,,,,,,,,,
-337348,250.1,,,,,,,,,
-335441,234.2,,,,,,,,,
-334775,239.6,,,,,,,,,
-333968,241.9,,,,,,,,,
-333337,255.7,,,,,,,,,
-332798,270.5,,,,,,,,,
-332311,278.6,,,,,,,,,
-331940,285.8,,,,,,,,,
-331430,278.1,,,,,,,,,
-330969,298.6,,,,,,,,,
-330512,288.4,,,,,,,,,
-330335,289.1,,,,,,,,,
-329994,282.4,,,,,,,,,
-329488,273.1,,,,,,,,,
-328790,272.6,,,,,,,,,
-328258,271.7,,,,,,,,,
-327525,265,,,,,,,,,
-326271,275.1,,,,,,,,,
-325640,271.9,,,,,,,,,
-325022,270.1,,,,,,,,,
-324371,266.1,,,,,,,,,
-323770,264,,,,,,,,,
-323021,266.2,,,,,,,,,
-322330,260.5,,,,,,,,,
-321576,260.3,,,,,,,,,
-320817,260.4,,,,,,,,,
-320065,257.2,,,,,,,,,
-318408,249.2,,,,,,,,,
-317530,255.8,,,,,,,,,
-316609,233.4,,,,,,,,,
-315784,245.2,,,,,,,,,
-314947,251.6,,,,,,,,,
-314250,272.6,,,,,,,,,
-313622,246.8,,,,,,,,,
-312917,257.1,,,,,,,,,
-312194,256.7,,,,,,,,,
-311464,251.6,,,,,,,,,
-310726,241.9,,,,,,,,,
-309918,239,,,,,,,,,
-309063,237.8,,,,,,,,,
-308218,233.2,,,,,,,,,
-307439,226.2,,,,,,,,,
-306794,227.8,,,,,,,,,
-305545,225.8,,,,,,,,,
-304597,244.8,,,,,,,,,
-303705,248.6,,,,,,,,,
-302951,250.2,,,,,,,,,
-302282,240.7,,,,,,,,,
-301276,240.2,,,,,,,,,
-300330,236,,,,,,,,,
-299452,239,,,,,,,,,
-298522,236.1,,,,,,,,,
-297671,231,,,,,,,,,
-296791,224.4,,,,,,,,,
-295971,217.1,,,,,,,,,
-293980,213.1,,,,,,,,,
-292618,212.7,,,,,,,,,
-291829,206.7,,,,,,,,,
-291107,206,,,,,,,,,
-290455,207.6,,,,,,,,,
-289417,217.1,,,,,,,,,
-288780,220.4,,,,,,,,,
-288203,234.9,,,,,,,,,
-286283,231,,,,,,,,,
-285588,230.4,,,,,,,,,
-285086,231.4,,,,,,,,,
-284178,226.4,,,,,,,,,
-283430,228,,,,,,,,,
-281835,231.3,,,,,,,,,
-279808,223.7,,,,,,,,,
-278319,215.3,,,,,,,,,
-277370,211,,,,,,,,,
-276400,204.5,,,,,,,,,
-275411,202.2,,,,,,,,,
-274376,193.2,,,,,,,,,
-273400,198.4,,,,,,,,,
-272371,194.1,,,,,,,,,
-271360,193.9,,,,,,,,,
-270361,190.4,,,,,,,,,
-269306,184.7,,,,,,,,,
-268272,198.8,,,,,,,,,
-267204,194.2,,,,,,,,,
-266231,187.2,,,,,,,,,
-265492,188.7,,,,,,,,,
-264376,211.7,,,,,,,,,
-263703,199.9,,,,,,,,,
-262559,228.1,,,,,,,,,
-260980,214.6,,,,,,,,,
-260142,208.9,,,,,,,,,
-258966,205.7,,,,,,,,,
-258403,209.6,,,,,,,,,
-256711,203.9,,,,,,,,,
-255150,204,,,,,,,,,
-254359,201.9,,,,,,,,,
-253548,199,,,,,,,,,
-251686,195.4,,,,,,,,,
-250789,196.7,,,,,,,,,
-249914,195.4,,,,,,,,,
-249055,213.9,,,,,,,,,
-248183,200.2,,,,,,,,,
-245731,214.7,,,,,,,,,
-243491,219.4,,,,,,,,,
-242914,230.4,,,,,,,,,
-242397,236.7,,,,,,,,,
-241906,249.9,,,,,,,,,
-241479,252.3,,,,,,,,,
-241121,263.7,,,,,,,,,
-240396,280.2,,,,,,,,,
-240057,279,,,,,,,,,
-239416,263.2,,,,,,,,,
-238995,259.7,,,,,,,,,
-238023,252.8,,,,,,,,,
-237527,247.4,,,,,,,,,
-237063,245.8,,,,,,,,,
-236608,245.6,,,,,,,,,
-235918,239.1,,,,,,,,,
-235344,243.1,,,,,,,,,
-234784,247.4,,,,,,,,,
-234164,241.4,,,,,,,,,
-233530,252.1,,,,,,,,,
-232867,245.2,,,,,,,,,
-229116,241.6,,,,,,,,,
-228472,233.9,,,,,,,,,
-227473,232.4,,,,,,,,,
-225826,224.5,,,,,,,,,
-225077,233.1,,,,,,,,,
-224761,234.5,,,,,,,,,
-223959,235.5,,,,,,,,,
-222973,215.7,,,,,,,,,
-222319,203.3,,,,,,,,,
-220080,205.6,,,,,,,,,
-218789,208.8,,,,,,,,,
-218108,207.1,,,,,,,,,
-217166,216.1,,,,,,,,,
-216411,214.1,,,,,,,,,
-214402,240.5,,,,,,,,,
-213432,245.3,,,,,,,,,
-212844,251.1,,,,,,,,,
-212509,251.7,,,,,,,,,
-212034,247.5,,,,,,,,,
-211586,242.6,,,,,,,,,
-211320,240.3,,,,,,,,,
-210766,241.4,,,,,,,,,
-209908,251.2,,,,,,,,,
-208863,243.4,,,,,,,,,
-208204,257.4,,,,,,,,,
-207867,239.5,,,,,,,,,
-207482,246.9,,,,,,,,,
-207045,252,,,,,,,,,
-206853,247.2,,,,,,,,,
-206304,243.9,,,,,,,,,
-206114,244.6,,,,,,,,,
-205594,242.2,,,,,,,,,
-205170,240.5,,,,,,,,,
-204860,230,,,,,,,,,
-204194,237.2,,,,,,,,,
-204002,238.1,,,,,,,,,
-203412,231.4,,,,,,,,,
-202958,229.4,,,,,,,,,
-202530,226.3,,,,,,,,,
-201887,228.6,,,,,,,,,
-201367,232.2,,,,,,,,,
-200924,231.9,,,,,,,,,
-200463,244.4,,,,,,,,,
-199213,247.6,,,,,,,,,
-197968,239.1,,,,,,,,,
-197022,250.9,,,,,,,,,
-194229,242.6,,,,,,,,,
-193723,241.2,,,,,,,,,
-193067,226.4,,,,,,,,,
-191531,220,,,,,,,,,
-190960,226.5,,,,,,,,,
-188402,218,,,,,,,,,
-187126,220.3,,,,,,,,,
-186486,231.4,,,,,,,,,
-184747,231.3,,,,,,,,,
-182735,210.7,,,,,,,,,
-180096,203.4,,,,,,,,,
-178118,199.7,,,,,,,,,
-177167,198.1,,,,,,,,,
-176229,217.7,,,,,,,,,
-175189,213.2,,,,,,,,,
-173356,207.7,,,,,,,,,
-171444,190.1,,,,,,,,,
