"Figure 6. Change in Timing of First Fall Frost by State, 1895-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Kunkel, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: days change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1908,-3.92,-4.734545455,-8.633636364,-6.216363636,-3.868181818,-0.545454545,-2.285714286,-3.809090909,-2.957272727,0.429090909,-6.64,0.474545455,-1.474545455,-4.675454545,-1.92,-8.192727273,-2.12,-3.568181818,-0.29,-2.047272727,-0.895454545,-2.753636364,-3.148181818,-7.103636364,-3.144545455,-6.490909091,-1.195454545,-3.545454545,-3.510909091,-6.827272727,2.287272727,-0.569090909,-1.082727273,-5.124545455,-2.992727273,-2.586363636,-1.227272727,-3.27,-0.740909091,-2.526363636,-2.505454545,-7.152727273,-1.928181818,-3.514545455,-6.167272727,0.181818182,-0.817,-1.181818182
1909,-4.205454545,-4.869090909,-7.27,-6.990909091,-1.991818182,-2.818181818,-2.125,-3.754545455,-2.309090909,2.037272727,-6.747272727,1.220909091,-0.761818182,-3.813636364,-1.124545455,-7.84,-3.392727273,-4.477272727,-0.346363636,-1.266363636,0.204545455,-2.320909091,-3.186363636,-7.093636364,-2.813636364,-6.331818182,0.450909091,-3.515454545,-4.147272727,-5.448181818,1.939090909,-1.185454545,-0.819090909,-5.185454545,-1.600909091,-4.097272727,-3,-3.264545455,1.239090909,-1.712727273,-2.282727273,-6.949090909,-1.898181818,-3.862727273,-5.207272727,2.300909091,-1.05,-2.181818182
1910,-4.217272727,-5.101818182,-7.160909091,-8.340909091,-1.902727273,-1.181818182,-2.444444444,-4.887272727,-1.905454545,1.309090909,-6.867272727,0.541818182,-0.970909091,-4.478181818,-2.130909091,-7.612727273,-2.423636364,-4.772727273,0.380909091,-0.645454545,0.397272727,-3.515454545,-2.365454545,-6.669090909,-2.537272727,-6.786363636,0.064545455,-3.25,-2.702727273,-4.620909091,-1.015454545,0.085454545,-0.522727273,-3.783636364,-2.225454545,-3.542727273,-2.772727273,-3.191818182,1.481818182,-2.112727273,-1.786363636,-6.477272727,-1.193636364,-4.150909091,-6.485454545,2.148181818,-1.136363636,-0.909090909
1911,-5.768181818,-6.004545455,-7.872727273,-8.38,-1.64,0.727272727,-2.444444444,-6.493636364,-2.22,-0.444545455,-8.11,-0.563636364,-1.881818182,-5.305454545,-2.105454545,-8.652727273,-2.726363636,-5.681818182,0.220909091,-1.502727273,-1.411818182,-3.702727273,-3.925454545,-8.047272727,-2.145454545,-6.904545455,-1.348181818,-2.916363636,-2.884545455,-4.108181818,-3.333636364,-0.120909091,-2.266363636,-4.244545455,-3.8,-4.745454545,-3.25,-2.983636364,-0.56,-2.097272727,-4.179090909,-6.762727273,-2.291818182,-3.848181818,-7.054545455,0.566363636,-2.424545455,-1.818181818
1912,-5.976363636,-6.713636364,-6.313636364,-6.759090909,-1.948181818,0.727272727,-2.444444444,-7.172727273,-2.327272727,-0.822727273,-6.952727273,-1.224545455,-2.196363636,-5.403636364,-2.225454545,-10.66545455,-4.408181818,-7.272727273,-1.408181818,-2.142727273,-2.318181818,-3.950909091,-4.712727273,-7.091818182,-1.494545455,-8.689090909,-0.838181818,-4.234545455,-2.914545455,-4.124545455,-4.272727273,-0.831818182,-3.184545455,-4.36,-3.500909091,-6.734545455,-4.555555556,-3.483636364,-0.699090909,-2.479090909,-5.792727273,-6.660909091,-3.039090909,-4.439090909,-6.730909091,-0.823636364,-3.485454545,-1.636363636
1913,-3.616363636,-6.123636364,-7.613636364,-8.036363636,-1.865454545,1.545454545,-1.875,-6.355454545,-0.925454545,-1.36,-4.800909091,-1.086363636,-1.597272727,-5.757272727,-1.279090909,-9.274545455,-3.908181818,-7.318181818,-1.635454545,-1.534545455,-3.120909091,-2.624545455,-3.634545455,-6.758181818,-0.815454545,-8.130909091,-1.87,-5.189090909,-2.222727273,-4.465454545,-4.272727273,-1.852727273,-3.79,-5.233636364,-3.213636364,-7.125454545,-3.5,-1.854545455,-1.266363636,-1.576363636,-5.583636364,-6.386363636,-2.979090909,-4.787272727,-5.700909091,-0.808181818,-4.697272727,-1.318181818
1914,-2.539090909,-4.875454545,-6.704545455,-8.855454545,-1.053636364,1.090909091,-2.714285714,-7.064545455,0.333636364,-0.394545455,-4.344545455,0.074545455,0.349090909,-5.255454545,0.418181818,-7.772727273,-4.12,-5.272727273,-2.290909091,-1.070909091,-1.720909091,-1.246363636,-3.51,-5.898181818,0.867272727,-5.936363636,-1.198181818,-4.72,-1.212727273,-3.195454545,-4.909090909,-1.846363636,-1.904545455,-4.055454545,-2.743636364,-6.193636364,-3.611111111,-1.690909091,-0.976363636,0.042727273,-4.612727273,-5.215454545,-0.777272727,-3.939090909,-4.753636364,0.057272727,-1.41,-0.590909091
1915,-1.556363636,-4.295454545,-7.431818182,-9.135454545,-1.284545455,1.1,1.571428571,-8.050909091,0.540909091,-0.977272727,-2.721818182,0.387272727,1.425454545,-5.098181818,1.399090909,-8.752727273,-2.983636364,-2.75,-1.881818182,1.1,-1.413636364,-0.719090909,-3.361818182,-5.433636364,1.091818182,-5.178181818,-1.532727273,-3.613636364,-0.51,-2.559090909,-4.742727273,-0.597272727,-0.718181818,-3.520909091,-3.369090909,-5.31,-2.222222222,-1.213636364,-1.35,0.698181818,-5.518181818,-4.411818182,0.210909091,-2.47,-3.967272727,0.635454545,-0.076363636,-0.454545455
1916,0.382727273,-4.056363636,-8.561818182,-10.48090909,-1.385454545,1.222222222,2.571428571,-4.73,2.515454545,-1.974545455,-1.624545455,-0.99,0.211818182,-5.342727273,0.291818182,-5.962727273,-2.301818182,-2.159090909,-1.939090909,1.052727273,-0.73,-1.698181818,-1.895454545,-3.83,0.404545455,-3.35,-2.331818182,-2.522727273,-0.368181818,-1.906363636,-4.349090909,-0.016363636,-1.859090909,-4.657272727,-5.039090909,-5.448181818,-0.833333333,-0.213636364,-0.248181818,-0.580909091,-4.36,-4.000909091,-0.529090909,-1.363636364,-4.587272727,0.217272727,-0.379090909,0.545454545
1917,1.779090909,-3.156363636,-9.252727273,-9.615454545,-0.883636364,-0.222222222,0.857142857,-0.118181818,3.028181818,-2.476363636,-0.632727273,-1.470909091,-0.477272727,-5.720909091,0.51,-1.274545455,-1.483636364,-3.681818182,-1.632727273,0.977272727,-0.734545455,-2.024545455,0.929090909,-1.984545455,0.754545455,-2.372727273,-2.549090909,-1.704545455,-0.605454545,-1.277272727,-3.076363636,0.392727273,-3.213636364,-4.496363636,-4.220909091,-6.691818182,1.666666667,1.38,-0.48,-1.106363636,-1.816363636,-2.946363636,-1.249090909,-0.560909091,-3.104545455,-0.286363636,-1.258181818,1.863636364
1918,3.242727273,-3.529090909,-7.793636364,-8.576363636,0.208181818,-1.333333333,0.428571429,-0.056363636,3.116363636,-1.830909091,0.904545455,-1.870909091,-1.202727273,-4.355454545,0.207272727,0.373636364,-1.392727273,-4.340909091,-2.201818182,0.140909091,-1.323636364,-1.397272727,1.254545455,-1.332727273,0.580909091,-3.202727273,-0.835454545,-3.788181818,-0.666363636,-0.644545455,-1.546363636,-0.624545455,-4.658181818,-2.730909091,-3.617272727,-8.457272727,2.388888889,1.629090909,0.390909091,-1.586363636,-0.187272727,-2.031818182,-0.582727273,-1.758181818,-1.83,-1.233636364,-1.5,1.136363636
1919,4.869090909,-2.349090909,-8.022727273,-8.292727273,0.051818182,-3.222222222,-5.714285714,1.098181818,4.51,-0.857272727,0.936363636,-1.498181818,-0.933636364,-4.184545455,-0.247272727,0.3,-1.301818182,-4.522727273,-2.087272727,1.060909091,-0.971818182,-1.109090909,3.065454545,-1.53,0.939090909,-3.199090909,-0.257272727,-3.47,-0.236363636,-0.462727273,-2.607272727,0.294545455,-2.356363636,-2.429090909,-3.71,-7.548181818,2.777777778,3.626363636,1.113636364,-2.176363636,0.214545455,-2.17,-1.382727273,-1.076363636,-1.239090909,-0.844545455,-0.241818182,-0.636363636
1920,4.806363636,-3.047272727,-10.19727273,-8.222727273,0.553636364,-4,-8.142857143,0.989090909,4.41,-2.277272727,0.752727273,-2.941818182,-2.35,-5.313636364,-1.363636364,0.8,-0.862727273,-4.068181818,-2.86,0.314545455,-1.888181818,-2.443636364,3.252727273,-0.771818182,-0.056363636,-2.58,-0.488181818,-3.757272727,-0.781818182,-0.523636364,-1.334545455,-0.562727273,-3.255454545,-3.379090909,-3.803636364,-6.711818182,3.888888889,3.389090909,0.310909091,-3.303636364,-0.333636364,-1.481818182,-1.14,-1.046363636,-2.85,-2.07,-0.545454545,1.136363636
1921,4.312727273,-3.078181818,-9.860909091,-6.623636364,-0.289090909,-3.666666667,-7.857142857,0.86,3.529090909,-2.977272727,-0.065454545,-3.103636364,-1.861818182,-4.601818182,-0.406363636,-0.062727273,-0.559090909,-2.795454545,-2.245454545,0.520909091,-2.255454545,-1.624545455,1.578181818,-0.264545455,-0.235454545,-1.789090909,-1.130909091,-3.234545455,-0.796363636,-0.595454545,-1.713636364,-0.737272727,-2.478181818,-4.374545455,-3.860909091,-5.409090909,5.111111111,2.124545455,0.194545455,-2.601818182,-0.62,-1.652727273,-0.760909091,0.082727273,-4.356363636,-2.393636364,0.651818182,0.5
1922,5.82,-1.812727273,-9.535454545,-4.619090909,-0.522727273,-4.555555556,-5.875,0.62,3.718181818,-1.069090909,0.898181818,-1.428181818,-0.200909091,-2.161818182,0.055454545,1.744545455,0.698181818,-1.181818182,-1.654545455,1.534545455,-1.788181818,-0.647272727,3.052727273,0.862727273,-0.225454545,-1.718181818,-0.182727273,-2.810909091,0.147272727,-1.062727273,-0.365454545,-0.218181818,-0.825454545,-2.123636364,-2.547272727,-3.636363636,6.25,1.951818182,0.728181818,-2.529090909,0.675454545,-1.17,0.555454545,0.643636364,-2.739090909,-0.89,2.258181818,1.909090909
1923,8.08,0.584545455,-9.510909091,-4.457272727,-0.187272727,-6.222222222,-5.333333333,1.428181818,5.720909091,-1.387272727,-1.259090909,-1.999090909,-1.076363636,-0.392727273,0.000909091,4.159090909,2.046363636,1.045454545,-0.609090909,1.94,-1.404545455,0.701818182,5.24,0.130909091,0.870909091,-1.633636364,-0.863636364,-1.28,0.793636364,-0.439090909,0.573636364,0.353636364,-0.597272727,-0.237272727,-3.365454545,-1.340909091,5.318181818,3.348181818,0.123636364,-1.426363636,3.12,-1.811818182,2.060909091,1.370909091,-3.818181818,0.009090909,3.076363636,1.090909091
1924,7.088181818,-0.083636364,-10.02181818,-4.626363636,-1.340909091,-7.333333333,-6.6,-0.012727273,5.183636364,-1.076363636,-3.092727273,-1.728181818,-1.443636364,0.835454545,0.046363636,3.358181818,1.516363636,1.204545455,-1.222727273,1.379090909,-1.273636364,0.712727273,4.581818182,-0.621818182,1.357272727,-1.605454545,0.715454545,-0.703636364,-0.09,-0.257272727,-0.153636364,0.428181818,0.059090909,-0.356363636,-3.983636364,-2.129090909,4.590909091,2.461818182,0.618181818,-1.106363636,2.404545455,-2.007272727,2.377272727,1.34,-5.456363636,-0.025454545,4.924545455,1.636363636
1925,5.259090909,-1.170909091,-9.810909091,-3.171818182,-1.588181818,-6.222222222,-6.909090909,-2.614545455,3.449090909,-0.959090909,-2.427272727,-2.386363636,-2.905454545,1.209090909,-1.360909091,2.670909091,2.137272727,-1.227272727,-0.909090909,1.668181818,-2.231818182,0.136363636,3.463636364,-1.514545455,-0.09,-2.668181818,1.177272727,-1.34,-1.105454545,-0.226363636,0.755454545,0.157272727,-1.017272727,-0.781818182,-3.4,-3.113636364,5.181818182,0.801818182,0.476363636,-2.752727273,2.824545455,-2.001818182,0.951818182,0.507272727,-4.627272727,-0.482727273,1.864545455,0.727272727
1926,6.800909091,-0.761818182,-9.349090909,-3.582727273,-0.518181818,-5.8,-7.545454545,4.867272727,6.352727273,1.113636364,-3.048181818,-1.343636364,-2.239090909,2.778181818,-0.331818182,10.22363636,1.319090909,-2.681818182,-0.58,0.719090909,-2.048181818,1.616363636,5.285454545,-0.910909091,-0.122727273,-3.011818182,2.830909091,-1.203636364,-1.181818182,1.143636364,-0.274545455,-0.074545455,-0.891818182,-0.843636364,-3.465454545,-3.045454545,4.636363636,1.013636364,1.554545455,-2.118181818,5.746363636,-1.624545455,0.9,0.083636364,-5.722727273,0.641818182,1.864545455,0.454545455
1927,5.6,-1.301818182,-10.07636364,-2.88,-0.041818182,-5.090909091,-7.636363636,1.667272727,5.156363636,1.152727273,-2.366363636,-1.231818182,-1.494545455,2.280909091,0.391818182,7.848181818,0.333636364,-3.659090909,-0.613636364,0.18,-2.482727273,1.424545455,5.043636364,-0.49,0.959090909,-3.493636364,2.855454545,-2.719090909,-1.717272727,0.9,-1.213636364,-1.056363636,-0.582727273,-0.902727273,-2.093636364,-3.582727273,4.181818182,1.886363636,1.640909091,-1.390909091,4.405454545,-2.017272727,1.904545455,-1.409090909,-4.861818182,-0.325454545,2.970909091,0.636363636
1928,4.954545455,-1.322727273,-8.978181818,-2.343636364,0.038181818,-3.363636364,-6.909090909,-0.225454545,4.276363636,1.08,-3.04,-0.921818182,-0.623636364,2.977272727,-0.113636364,5.882727273,1,-2.136363636,-0.227272727,0.739090909,-2.333636364,1.94,3.617272727,-0.810909091,0.301818182,-2.759090909,2.713636364,-3.25,-1.177272727,1.248181818,-1.789090909,-0.968181818,-0.064545455,-0.415454545,-2.64,-1.954545455,4.863636364,0.829090909,1.983636364,-0.872727273,3.883636364,-2.367272727,1.98,-2.409090909,-6.030909091,-0.501818182,3.061818182,0.318181818
1929,4.368181818,-0.043636364,-9.305454545,-1.916363636,-0.430909091,-2.909090909,-7.090909091,-1.404545455,4.320909091,1.13,-3.451818182,0.564545455,0.611818182,2.860909091,0.02,6.255454545,0.924545455,-1.295454545,0.875454545,1.34,-2.640909091,2.549090909,3.869090909,-1.543636364,-0.36,-3.523636364,1.419090909,-2.833636364,-1.560909091,2.058181818,-2.425454545,-1.090909091,1.444545455,-0.026363636,-3.348181818,-0.711818182,4.590909091,-0.108181818,0.372727273,-0.373636364,3.753636364,-2.781818182,1.654545455,-2.090909091,-7.280909091,0.737272727,3.667272727,0.727272727
1930,4.967272727,0.423636364,-8.785454545,-3.168181818,0.466363636,-3.818181818,-4.454545455,-2.380909091,4.289090909,0.793636364,-4.103636364,-0.424545455,-0.421818182,2.756363636,-0.828181818,6.385454545,0.348181818,-1.590909091,0.772727273,-0.223636364,-3.115454545,1.620909091,3.247272727,-0.726363636,-0.714545455,-4.34,1.245454545,-2.333636364,-2.591818182,2.980909091,-0.819090909,-1.830909091,-0.165454545,0.794545455,-3.075454545,-1.166363636,3.318181818,-0.841818182,-0.151818182,-0.673636364,4.515454545,-1.918181818,1.472727273,-1.984545455,-6.992727273,0.139090909,1.954545455,0.363636364
1931,6.247272727,1.498181818,-8.201818182,-3.287272727,-0.265454545,-2.727272727,-2.909090909,-1.614545455,5.046363636,1.468181818,-3.438181818,0.542727273,0.991818182,3.95,0.551818182,6.294545455,1.241818182,-1.25,1.374545455,-0.231818182,-2.861818182,2.856363636,3.884545455,-1.057272727,0.883636364,-4.136363636,1.54,-1.606363636,-1.723636364,1.850909091,-1.894545455,-1.01,0.88,2.095454545,-3.261818182,-0.832727273,3.727272727,0.734545455,-0.048181818,0.848181818,4.005454545,-2.156363636,2.251818182,-1.423636364,-6.917272727,0.1,3.485454545,-0.636363636
1932,5.343636364,0.790909091,-7.047272727,-2.643636364,0.401818182,-3.181818182,-3.909090909,-2.500909091,4.444545455,1.745454545,-2.454545455,0.210909091,0.113636364,4.232727273,-0.801818182,6.396363636,0.756363636,-2.204545455,0.885454545,-0.282727273,-2.696363636,2.426363636,3.526363636,-0.393636364,0.474545455,-4.181818182,2.606363636,-2.090909091,-2.355454545,2.345454545,-1.409090909,-1.010909091,-0.269090909,1.540909091,-2.462727273,-1.938181818,2.863636364,-0.15,-0.026363636,0.150909091,3.992727273,-1.299090909,1.709090909,-1.878181818,-4.818181818,0.578181818,2.151818182,0.409090909
1933,4.822727273,-0.602727273,-7.266363636,-4.089090909,1.315454545,-3.363636364,-3.090909091,-3.33,4.533636364,2.275454545,-0.365454545,0.748181818,-0.142727273,3.146363636,-0.363636364,4.566363636,-0.607272727,-2.727272727,0.681818182,-0.340909091,-1.28,2.248181818,2.395454545,1.549090909,1.138181818,-3.640909091,3.456363636,-2.923636364,-3.087272727,3.364545455,0.681818182,-1.786363636,-0.552727273,-0.105454545,-2.431818182,-2.801818182,0.409090909,1.006363636,0.665454545,0.380909091,2.62,-0.924545455,1.394545455,-3.045454545,-5.061818182,1.894545455,1.333636364,-1.409090909
1934,3.482727273,-1.505454545,-5.683636364,-3.174545455,0.979090909,-1.818181818,-4.181818182,-1.138181818,3.520909091,2.689090909,0.316363636,1.73,0.948181818,2.119090909,0.37,4.269090909,-0.152727273,-3.568181818,0.533636364,-0.516363636,-1.3,1.582727273,1.533636364,2.062727273,0.415454545,-2.680909091,3.442727273,-3.06,-3.390909091,3.585454545,-0.439090909,-2.158181818,0.258181818,-0.031818182,-0.928181818,-3.105454545,0.681818182,0.667272727,0.879090909,0.125454545,2.923636364,0.461818182,1.099090909,-3.242727273,-3.9,2.244545455,1.909090909,-4.090909091
