"Figure 1. Seven-Day Low Streamflows in the United States, 1940-2014",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: USGS, 2016",,,
Web update: August 2016,,,
Units: percent change,,,
,,,
Lat,Long,Station Name,Seven-Day Low Streamflow
39.01004,-87.94559,"NORTH FORK EMBARRAS RIVER NEAR OBLONG, IL",-50.66838882
35.14333,-82.82472,"FRENCH BROAD RIVER AT ROSMAN, NC",-7.025066427
36.65178,-81.84401,"S F HOLSTON RIVER NEAR DAMASCUS, VA",-1.634190248
36.23917,-81.82222,"WATAUGA RIVER NEAR SUGAR GROVE, NC",3.681995899
36.89678,-81.74623,"N F HOLSTON RIVER NEAR SALTVILLE, VA",8.033771948
35.1275,-83.61861,"NANTAHALA RIVER NEAR RAINBOW SPRINGS, NC",-18.47282218
34.62425,-86.30637,PAINT ROCK RIVER NEAR WOODVILLE AL,27.92863135
35.49591,-87.8328,"BUFFALO RIVER NEAR FLAT WOODS, TN",48.52785228
46.03053,-86.16125,"MANISTIQUE RIVER NEAR MANISTIQUE, MI",-1.448317939
43.94501,-86.27869,"PERE MARQUETTE RIVER AT SCOTTVILLE, MI",19.59431386
44.43639,-85.69868,"MANISTEE RIVER NEAR SHERMAN, MI",-5.109189708
41.5045,-84.42967,Tiffin River at Stryker OH,13.60995076
42.39313,-76.54494,CAYUGA INLET NEAR ITHACA NY,14.56404672
48.13834,-100.53986,"WINTERING RIVER NR KARLSRUHE, ND",112.2106453
48.39578,-93.54933,"LITTLE FORK RIVER AT LITTLEFORK, MN",15.61004639
45.29163,-96.48756,"WHETSTONE RIVER NEAR BIG STONE CITY, SD",1642.627751
45.30803,-90.95653,"JUMP RIVER AT SHELDON, WI",28.99854557
44.82191,-90.07958,"BIG EAU PLEINE RIVER AT STRATFORD, WI",323.8633682
43.57414,-90.64319,"KICKAPOO RIVER AT LA FARGE, WI",80.77481468
42.73999,-91.2618,"Turkey River at Garber, IA",135.7289697
42.72027,-90.81929,"GRANT RIVER AT BURTON, WI",101.8310756
42.7311,-90.64041,"PLATTE RIVER NEAR ROCKVILLE, WI",59.30845315
41.90281,-89.69622,"ELKHORN CREEK NEAR PENROSE, IL",140.4874375
41.70002,-91.48767,"Rapid Creek near Iowa City, IA",179.6096599
41.18698,-90.96737,"EDWARDS RIVER NEAR NEW BOSTON, IL",73.35093077
40.39241,-91.59788,"Fox River at Wayland, MO",194.0773916
39.81799,-91.5177,"North River at Palmyra, MO",42.66098602
41.36587,-89.49843,"BIG BUREAU CREEK AT PRINCETON, IL",632.8761299
40.02477,-90.63179,"LA MOINE RIVER AT RIPLEY, IL",39.91823515
45.11188,-110.79438,Yellowstone River at Corwin Springs MT,5.808375823
45.00691,-107.6151,Little Bighorn River at State Line nr Wyola MT,-1.583885257
46.37611,-100.93444,"CANNONBALL RIVER AT BREIEN, ND",123.6373313
44.32665,-100.3843,BAD R NEAR FORT PIERRE SD,NA
43.74833,-99.55649,WHITE R NEAR OACOMA SD,159.3114493
39.09938,-95.72495,"SOLDIER C NR TOPEKA, KS",122.4163127
39.11633,-95.01088,"STRANGER C NR TONGANOXIE, KS",26.11204688
35.98318,-92.74755,"Buffalo River near St. Joe, AR",-11.41902258
37.15408,-91.35816,"Jacks Fork at Eminence, MO",27.36575211
36.622,-90.84762,"Current River at Doniphan, MO",15.0080625
36.64868,-91.20082,"Eleven Point River near Bardley, MO",20.20694254
38.19645,-96.82458,"CEDAR C NR CEDAR POINT, KS",3.215638078
36.37226,-104.97,"RAYADO CREEK NEAR CIMARRON, NM",14.10341692
31.50306,-90.7775,"HOMOCHITTO RIVER AT EDDICETON, MS",10.12095568
30.5038,-90.67732,"Tickfaw River at Holden, LA",-12.2494718
30.69875,-92.89319,"Whiskey Chitto Creek Near Oberlin, LA",-14.4062108
30.3366,-95.1041,"E Fk San Jacinto Rv nr Cleveland, TX",20.10305438
28.95998,-96.68637,"Lavaca Rv nr Edna, TX",-38.17190833
28.29195,-97.27916,"Mission Rv at Refugio, TX",15.8216084
29.42857,-99.99729,"Nueces Rv at Laguna, TX",22.18141763
29.48856,-99.70478,"Frio Rv at Concan, TX",44.59866308
36.54169,-105.5564,"RIO HONDO NEAR VALDEZ, NM",-5.492414824
35.70837,-105.68252,"PECOS RIVER NEAR PECOS, NM",22.33193482
35.65199,-105.3189,"GALLINAS CREEK NEAR MONTEZUMA, NM",72.32668986
33.06118,-108.53728,"GILA RIVER NEAR GILA, NM",-9.782854247
41.74438,-111.78439,COM F LOGAN R AB ST D AND LO HP AND SM C N LO UT,-4.570231566
38.28053,-112.56827,"BEAVER RIVER NEAR BEAVER, UT",-2.022689674
37.6722,-113.03467,"COAL CREEK NEAR CEDAR CITY, UT",16.7999592
34.42083,-117.83951,BIG ROCK C NR VALYERMO CA,-47.25149768
41.53462,-117.4179,"MARTIN C NR PARADISE VALLEY, NV",1.93999089
42.79083,-118.8675,DONNER UND BLITZEN RIVER NR FRENCHGLEN OR,0.794008948
34.22223,-118.17757,ARROYO SECO NR PASADENA CA,-31.44781014
34.59666,-119.90875,SANTA CRUZ C NR SANTA YNEZ CA,NA
37.33939,-118.97345,BEAR C NR LAKE THOMAS A EDISON CA,21.56521149
37.19856,-119.21373,PITMAN C BL TAMARACK C CA,5.172166176
37.73159,-119.55877,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,29.95470595
37.31549,-121.12521,ORESTIMBA C NR NEWMAN CA,NA
38.51908,-120.21269,COLE C NR SALT SPRINGS DAM CA,-4.024350724
40.0546,-122.02415,MILL C NR LOS MOLINOS CA,-6.097409255
40.01405,-121.94832,DEER C NR VINA CA,-10.42941165
41.37763,-123.47756,SALMON R A SOMES BAR CA,-9.697578268
41.7915,-124.07619,SMITH R NR CRESCENT CITY CA,-4.636891715
46.37399,-123.74348,"NASELLE RIVER NEAR NASELLE, WA",-26.92445789
46.61732,-123.27764,"CHEHALIS RIVER NEAR DOTY, WA",-20.51495924
47.00065,-123.49488,"SATSOP RIVER NEAR SATSOP, WA",-7.563012538
48.01426,-123.13268,"DUNGENESS RIVER NEAR SEQUIM, WA",-17.99833386
47.68398,-123.01155,"DUCKABUSH RIVER NEAR BRINNON, WA",-16.7410418
47.51426,-123.32989,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",-21.60079094
48.26149,-122.04764,"NF STILLAGUAMISH RIVER NEAR ARLINGTON, WA",-27.78341658
48.67263,-121.0729,"THUNDER CREEK NEAR NEWHALEM, WA",20.51364031
48.16872,-121.47067,"SAUK RIVER AB WHITECHUCK RIVER NEAR DARRINGTON, WA",-21.99500457
48.42456,-121.56846,"SAUK RIVER NEAR SAUK, WA",-24.23328865
48.49524,-114.01012,Middle Fork Flathead River nr West Glacier MT,6.693549952
47.56889,-116.25333,NF COEUR D ALENE RIVER AT ENAVILLE ID,-4.549831729
47.27464,-116.18905,ST JOE RIVER AT CALDER ID,-8.494758975
48.32958,-120.69177,"STEHEKIN RIVER AT STEHEKIN, WA",-0.719580152
46.97762,-121.1687,"AMERICAN RIVER NEAR NILE, WA",-5.472392401
42.16583,-113.98361,TRAPPER CREEK NR OAKLEY ID,-15.27777633
43.65944,-115.72722,BOISE RIVER NR TWIN SPRINGS ID,-6.853038968
44.08528,-115.62222,SF PAYETTE RIVER AT LOWMAN ID,-16.90340806
44.96167,-115.5,JOHNSON CREEK AT YELLOW PINE ID,-10.27954026
46.15083,-115.58722,LOCHSA RIVER NR LOWELL ID,-16.86221608
45.71958,-118.32329,"UMATILLA RIVER ABOVE MEACHAM CREEK, NR GIBBON, OR",-8.454770325
45.39956,-122.13731,"SANDY RIVER NEAR MARMOT, OR",-12.11913076
45.4154,-122.17147,"LITTLE SANDY RIVER NEAR BULL RUN, OREG.",-20.71127664
43.73596,-122.8734,"ROW RIVER ABOVE PITCHER CREEK NEAR, DORENA, OREG",-7.741908696
44.04984,-123.42621,"LONG TOM RIVER NEAR NOTI, OREG.",-29.37468149
44.79151,-122.57897,"LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR",-7.603216399
44.39179,-122.49758,"SOUTH SANTIAM RIVER BELOW CASCADIA, OR",-24.06588257
45.83678,-122.46621,"EAST FORK LEWIS RIVER NEAR HEISSON, WA",-15.55708514
45.704,-123.75541,"NEHALEM RIVER NEAR FOSS, OR",-12.55016618
44.71512,-123.88733,"SILETZ RIVER AT SILETZ, OR",-28.82670306
44.38595,-123.83178,"ALSEA RIVER NEAR TIDEWATER, OR",-11.55550657
42.8915,-124.07065,"SOUTH FORK COQUILLE RIVER AT POWERS, OR",-21.91135079
55.3916,-131.19558,FISH C NR KETCHIKAN AK,60.18687094
22.13267,-159.61998,"Kawaikoi Stream nr Waimea, Kauai, HI",-7.779949276
22.06877,-159.41526,"EB of NF Wailua River nr Lihue, Kauai, HI",-10.79672444
21.3635,-157.8442,"Kalihi Str nr Honolulu, Oahu, HI",-4.516076715
21.1555,-156.76197,"Halawa Stream near Halawa, Molokai, HI",-16.36412316
20.80686,-156.11422,"Hanawi Stream near Nahiku, Maui, HI",-21.96797431
20.81769,-156.14103,"West Wailuaiki Stream near Keanae, Maui, HI",-34.34360234
20.88568,-156.25274,"Honopou Stream near Huelo, Maui, HI",-29.55914972
