"Figure 1. Change in Total Snowfall in the Contiguous 48 States, 1930-2007",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Kunkel et al., 2009",,
36.67,-95.13,0.722
40.8,-77.87,0.229
43.65,-97.78,0.21
45.67,-97,0.562
45.43,-101.07,0.23
45.92,-96.78,0.404
44.42,-72.02,0.183
38.42,-105.23,0.439
40.32,-86.5,0.53
40.78,-85.82,0.354
42.05,-93.88,0.115
41.68,-94.52,0.232
37.87,-97.67,0.178
43.7,-85.48,0.355
46.42,-86.67,0.265
42.4,-86.28,0.584
36.58,-90.82,0.608
45.92,-109.25,0.385
40.27,-74.57,0.104
36.75,-105.6,1.92
34.47,-104.25,0.485
41.05,-83.67,0.263
39.93,-77.63,0.174
44.38,-97.55,0.483
45.45,-99.03,0.474
43.92,-99.87,0.489
43.47,-101.5,0.44
44.52,-98.98,0.216
43.38,-99.87,0.548
36.47,-100.78,0.364
45.9,-89.45,0.308
45.82,-91.88,0.145
44.87,-87.33,0.434
40.58,-105.08,0.505
39.22,-85.9,0.612
42.47,-91.45,0.117
43.7,-92.57,0.105
44.88,-73.43,0.109
41.12,-84.6,0.172
36.32,-95.58,0.227
45.23,-99.47,0.568
45.3,-92.37,0.128
45.1,-87.63,0.237
44.18,-90.37,0.2
43.42,-104.95,0.642
35.25,-112.18,-0.042
40.48,-106.83,-0.008
41.75,-88.35,-0.032
42.03,-88.28,-0.084
38.67,-87.18,-0.027
40.47,-87,-0.004
42.02,-93.8,0.015
43.18,-95.85,-0.064
37.18,-94.85,0.016
37.62,-99.3,0.038
37.22,-95.72,0.097
37.23,-97.4,-0.051
45.67,-69.82,-0.054
45.58,-69.72,-0.066
44.25,-84.2,0.067
46.4,-95.15,0.009
45.13,-95.02,0.07
42.55,-98.97,0.092
41.27,-97.12,0.056
40.12,-97.17,0.055
40.43,-99.37,0.032
42.07,-97.95,-0.028
40.83,-115.78,0.088
40.78,-73.97,-0.098
35.2,-82.23,-0.05
40.25,-81.87,0.022
39.83,-81.92,0.027
36.43,-99.38,0.071
39.28,-112.65,-0.04
37.33,-78.38,0.085
48.62,-122.8,-0.089
41.15,-105.17,0.092
39.22,-105.28,0.09
42.07,-94.85,-0.004
41.8,-90.27,-0.009
42.4,-95.52,-0.057
37.38,-93.95,0.032
40.13,-99.83,-0.055
36.92,-106.58,-0.094
35.87,-106.32,0.068
42.1,-76.8,0.029
40.05,-77.52,0.002
43.05,-96.9,0.099
44.05,-96.6,-0.076
40.5,-111.42,0.096
39.25,-111.63,0.074
44.65,-90.13,0.059
44.77,-88.62,-0.044
39.17,-120.13,0.002
39.75,-104.13,-0.033
39.83,-89.02,0.015
41.83,-89.52,0.039
41.45,-90.17,0.04
38.8,-86.65,0.033
42.02,-94.38,0.011
38.47,-101.77,-0.025
37.23,-96.97,-0.089
42.37,-71.03,0.043
46.28,-96.07,0.049
44.87,-111.33,-0.082
47.93,-97.08,0.093
34.73,-97.28,-0.005
35.93,-94.97,0.022
42.12,-121.95,-0.014
36.38,-84.87,0.012
35.68,-85.8,-0.017
43.38,-72.6,-0.063
36.93,-81.08,-0.048
42.12,-104.95,-0.006
41.7,-88.97,0.018
39.57,-95.12,0.006
37.9,-101.27,0.067
37.82,-99.08,-0.063
37.6,-93.1,0.032
38.85,-91.95,0.011
41.03,-74.43,-0.039
39.73,-76.5,0.041
38.45,-78.93,0.056
44.25,-88.37,0.089
45.42,-92.65,-0.068
39.15,-89.48,0.094
41.85,-79.15,-0.064
39.4,-77.98,-0.014
42.08,-104.22,0.052
